dataset,sample_id,signature,n_requested,n_available,available_genes,coverage_fraction,sample_short
GSE288483,GSM8768683_Pt2-1,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1,Pt2-1
GSE288483,GSM8768684_Pt2-2,TLS_12CK,12,11,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL4,0.916666666666667,Pt2-2
GSE288483,GSM8768684_Pt2-2,TLS_29_imprint,28,24,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;CCL19;CCL21;IGHG4;IGHG2;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL4;CD79A;XBP1;SSR4,0.857142857142857,Pt2-2
GSE288483,GSM8768684_Pt2-2,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1,Pt2-2
GSE288483,GSM8768684_Pt2-2,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1,Pt2-2
GSE288483,GSM8768684_Pt2-2,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1,Pt2-2
GSE288483,GSM8768684_Pt2-2,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1,Pt2-2
GSE288483,GSM8768685_Pt2-3,TLS_12CK,12,11,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL4,0.916666666666667,Pt2-3
GSE288483,GSM8768685_Pt2-3,TLS_29_imprint,28,24,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;CCL19;CCL21;IGHG4;IGHG2;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL4;CD79A;XBP1;SSR4,0.857142857142857,Pt2-3
GSE288483,GSM8768685_Pt2-3,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1,Pt2-3
GSE288483,GSM8768685_Pt2-3,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1,Pt2-3
GSE288483,GSM8768685_Pt2-3,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1,Pt2-3
GSE288483,GSM8768685_Pt2-3,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1,Pt2-3
GSE288483,GSM8768686_Pt2-4,TLS_12CK,12,11,CXCL9;CXCL10;CXCL11;CXCL13;CCL19;CCL21;CCL2;CCL8;CCL5;CCL18;CCL4,0.916666666666667,Pt2-4
GSE288483,GSM8768686_Pt2-4,TLS_29_imprint,28,24,FCRL5;IGKC;JCHAIN;CXCL9;CXCL10;CXCL11;CXCL13;MZB1;CCL19;CCL21;IGHG4;IGHG2;IGHA1;IGHG1;IGHG3;IGHM;CCL2;CCL8;CCL5;CCL18;CCL4;CD79A;XBP1;SSR4,0.857142857142857,Pt2-4
GSE288483,GSM8768686_Pt2-4,mregDC,14,14,MARCKSL1;CD80;CD86;LAMP3;TNFAIP3;FSCN1;CD274;PDCD1LG2;CCL19;BIRC3;NFKBIA;CCL22;CCR7;CD40,1,Pt2-4
GSE288483,GSM8768686_Pt2-4,AP_MHCII,13,13,CD74;HLA-DRA;HLA-DRB5;HLA-DRB1;HLA-DQA1;HLA-DQB1;HLA-DQA2;TAP2;TAP1;HLA-DPA1;HLA-DPB1;B2M;CIITA,1,Pt2-4
GSE288483,GSM8768686_Pt2-4,B_cell_TLS,9,9,IGKC;CXCL13;BANK1;MS4A1;IGHM;CD19;CD79B;CD22;CD79A,1,Pt2-4
GSE288483,GSM8768686_Pt2-4,T_cell_zone,9,9,CD8A;IL7R;LTB;TRBC1;TRBC2;CD3E;CD3D;CD4;CCR7,1,Pt2-4
